#$

Письмо матери#

Иван Анатольевич Терентьев пишет письмо своей матери в деревню.
Получается, правда, не слишком душевно:#

print("Что с ебалом? Дед живой?")#

Помогите Ивану Анатольевичу написать нормальное письмо домой.#

null#

С лицом всё хорошо. Родился сын.#

Требуется изменить выводимое сообщение.#

Строка, переданная функции, и строка на выводе должны совпадать.#

print("С лицом всё хорошо. Родился сын.")$
